episode,train_steps,train_reward,train_loss,eps,train_avg_delay_ms,train_loss_rate,train_throughput,eval_reward,eval_avg_delay_ms,eval_loss_rate,eval_throughput
1,938,-102.34,0.025941,0.9743,21.1538,0.36,0.455,,,,
2,970,-110.0,0.042375,0.9436,26.954,0.3638,0.435,,,,
3,925,-50.98,0.047727,0.9143,25.1681,0.3291,0.595,,,,
4,961,-89.78,0.049212,0.8839,23.6735,0.3522,0.49,,,,
5,976,-48.9,0.046781,0.853,28.7398,0.3305,0.615,,,,
6,958,-20.74,0.048016,0.8226,26.8182,0.3028,0.66,,,,
7,958,-77.8,0.050789,0.7923,31.9608,0.3519,0.51,,,,
8,945,-22.28,0.052832,0.7624,27.4265,0.3118,0.68,,,,
9,941,12.74,0.062338,0.7326,23.9803,0.2848,0.76,,,,
10,912,-19.82,0.062743,0.7037,27.6136,0.305,0.66,,,,
11,899,66.52,0.063293,0.6752,24.0395,0.2368,0.885,,,,
12,888,63.68,0.065172,0.6471,24.569,0.2344,0.87,,,,
13,916,64.34,0.067873,0.6181,27.0556,0.2482,0.9,,,,
14,880,79.96,0.06283,0.5902,25.6486,0.2276,0.925,,,,
15,852,112.6,0.068807,0.5633,23.7192,0.2005,1.015,,,,
16,838,96.68,0.070171,0.5367,20.5,0.204,0.95,,,,
17,858,110.48,0.070172,0.5095,22.7723,0.2025,1.01,,,,
18,934,115.86,0.074914,0.48,27.3399,0.1929,1.015,,,,
19,794,135.64,0.076926,0.4548,20.545,0.1688,1.055,,,,
20,859,179.48,0.081429,0.4276,23.038,0.1284,1.185,,,,
21,812,175.56,0.077057,0.4019,21.0504,0.1398,1.19,,,,
22,794,187.76,0.081162,0.3768,20.8125,0.116,1.2,,,,
23,769,218.22,0.078208,0.3524,21.1024,0.078,1.27,,,,
24,754,199.54,0.079381,0.3285,20.6531,0.1011,1.225,,,,
25,712,225.64,0.076311,0.306,18.6364,0.0857,1.32,,,,
26,750,226.84,0.080677,0.2822,18.9773,0.0805,1.32,,,,
27,711,246.48,0.085347,0.2597,16.7593,0.0448,1.35,,,,
28,677,232.26,0.079454,0.2383,17.3962,0.0725,1.325,,,,
29,757,223.6,0.086388,0.2143,19.6731,0.0778,1.3,,,,
30,615,250.52,0.088334,0.1948,16.2956,0.0504,1.37,,,,
31,633,253.18,0.08943,0.1748,16.6486,0.0476,1.38,,,,
32,644,267.94,0.081944,0.1544,16.0954,0.0244,1.415,,,,
33,598,269.84,0.08457,0.1355,14.9647,0.0214,1.415,,,,
34,587,271.12,0.091946,0.1169,15.193,0.0244,1.425,,,,
35,596,276.94,0.085549,0.098,15.3993,0.0154,1.44,,,,
36,576,284.36,0.085787,0.0798,15.1884,0.0062,1.46,,,,
37,549,288.94,0.091173,0.0624,13.4576,0.0031,1.475,,,,
38,534,290.26,0.086194,0.05,12.9054,0.0031,1.48,,,,
39,536,284.18,0.09124,0.05,12.7397,0.0093,1.46,,,,
40,518,292.62,0.089723,0.05,12.953,0.0031,1.49,,,,
41,522,288.54,0.08735,0.05,12.1115,0.0093,1.48,,,,
42,518,295.68,0.092035,0.05,11.6279,0.0031,1.505,,,,
43,531,290.32,0.094158,0.05,12.3142,0.0031,1.48,,,,
44,543,284.0,0.08827,0.05,14.3471,0.0062,1.455,,,,
45,530,294.38,0.0828,0.05,12.8595,0.0,1.495,,,,
46,546,287.98,0.086559,0.05,13.4864,0.0031,1.47,,,,
47,543,288.08,0.081128,0.05,12.7797,0.0062,1.475,,,,
48,554,283.74,0.094384,0.05,15.2069,0.0031,1.45,,,,
49,520,293.6,0.086643,0.05,11.6555,0.0031,1.495,,,,
50,546,280.92,0.097068,0.05,14.2734,0.0093,1.445,,,,
51,502,292.98,0.091932,0.05,11.689,0.0062,1.495,,,,
52,512,294.78,0.09148,0.05,11.75,0.0031,1.5,,,,
53,531,287.26,0.090789,0.05,13.5666,0.0031,1.465,,,,
54,528,290.38,0.088766,0.05,13.2601,0.0031,1.48,,,,
55,560,288.72,0.089781,0.05,13.0508,0.0031,1.475,,,,
56,540,293.16,0.100851,0.05,13.8758,0.0,1.49,,,,
57,531,292.32,0.091874,0.05,13.5017,0.0,1.485,,,,
58,535,292.24,0.095003,0.05,12.7778,0.0,1.485,,,,
59,521,292.56,0.089901,0.05,12.2651,0.0031,1.49,,,,
60,529,290.36,0.098834,0.05,13.3277,0.0031,1.48,,,,
61,537,289.14,0.095259,0.05,12.7551,0.0,1.47,,,,
62,533,292.32,0.090154,0.05,13.2047,0.0031,1.49,,,,
63,540,294.18,0.092236,0.05,13.2776,0.0,1.495,,,,
64,529,292.36,0.100934,0.05,12.4411,0.0,1.485,,,,
65,551,278.82,0.09477,0.05,15.0,0.0123,1.44,,,,
66,534,287.24,0.08973,0.05,12.8571,0.0062,1.47,,,,
67,545,280.94,0.094453,0.05,15.4671,0.0093,1.445,,,,
68,537,287.14,0.086872,0.05,14.5222,0.0031,1.465,,,,
69,518,285.48,0.100059,0.05,13.3505,0.0031,1.455,,,,
70,526,288.38,0.09114,0.05,12.9252,0.0031,1.47,,,,
71,540,286.06,0.094188,0.05,13.1336,0.0031,1.46,,,,
72,533,290.28,0.094371,0.05,13.4628,0.0031,1.48,,,,
73,532,289.28,0.097111,0.05,12.5254,0.0031,1.475,,,,
74,544,285.0,0.09775,0.05,13.9897,0.0062,1.46,,,,
75,548,284.92,0.104024,0.05,13.4932,0.0062,1.46,,,,
76,551,288.9,0.092139,0.05,13.6949,0.0031,1.475,,,,
77,536,293.24,0.098914,0.05,13.4396,0.0,1.49,,,,
78,545,279.96,0.106738,0.05,14.5675,0.0123,1.445,,,,
79,527,294.44,0.096573,0.05,12.7425,0.0,1.495,,,,
80,539,294.2,0.095878,0.05,13.2274,0.0,1.495,,,,
81,524,289.48,0.112849,0.05,12.5169,0.0062,1.48,,,,
82,535,294.28,0.107766,0.05,13.0769,0.0,1.495,,,,
83,527,291.42,0.112197,0.05,13.5017,0.0031,1.485,,,,
84,521,289.5,0.099546,0.05,12.9831,0.0031,1.475,,,,
85,542,288.1,0.106835,0.05,13.5593,0.0062,1.475,,,,
86,528,290.38,0.117391,0.05,14.0372,0.0031,1.48,,,,
87,540,284.06,0.104199,0.05,14.3643,0.0062,1.455,,,,
88,519,282.56,0.112735,0.05,13.4418,0.0154,1.46,,,,
89,526,292.42,0.10939,0.05,13.5859,0.0,1.485,,,,
90,540,292.18,0.121476,0.05,12.9027,0.0031,1.49,,,,
91,515,291.7,0.111684,0.05,12.3322,0.0062,1.49,,,,
92,539,293.18,0.112465,0.05,12.7517,0.0,1.49,,,,
93,545,287.1,0.113714,0.05,13.1926,0.0123,1.48,,,,
94,522,291.52,0.109319,0.05,13.1145,0.0031,1.485,,,,
95,542,290.1,0.106594,0.05,13.7162,0.0031,1.48,,,,
96,530,290.38,0.101859,0.05,12.9966,0.0062,1.485,,,,
97,523,290.48,0.10908,0.05,12.5676,0.0031,1.48,,,,
98,528,295.44,0.105746,0.05,12.4167,0.0,1.5,,,,
99,528,292.42,0.112051,0.05,12.7349,0.0031,1.49,,,,
100,527,291.42,0.101422,0.05,12.9125,0.0031,1.485,,,,
101,524,281.44,0.119659,0.05,13.299,0.0154,1.455,,,,
102,554,289.86,0.111205,0.05,14.5101,0.0031,1.48,,,,
103,535,286.2,0.11762,0.05,14.6587,0.0062,1.465,,,,
104,535,288.24,0.121981,0.05,14.5593,0.0062,1.475,,,,
105,519,288.56,0.115831,0.05,13.2712,0.0062,1.475,,,,
106,537,289.18,0.107676,0.05,12.7966,0.0031,1.475,,,,
107,530,285.32,0.111037,0.05,12.8669,0.0093,1.465,,,,
108,536,288.18,0.125384,0.05,13.5034,0.0031,1.47,,,,
109,527,290.4,0.109579,0.05,12.7365,0.0031,1.48,,,,
110,509,295.82,0.120413,0.05,11.75,0.0,1.5,,,,
111,513,289.66,0.119731,0.05,12.9661,0.0031,1.475,,,,
112,527,294.48,0.122554,0.05,12.5333,0.0031,1.5,,,,
113,516,287.6,0.099134,0.05,13.7245,0.0062,1.47,,,,
114,539,292.2,0.110873,0.05,13.1544,0.0031,1.49,,,,
115,522,291.48,0.106106,0.05,12.7703,0.0,1.48,,,,
116,519,282.52,0.111969,0.05,12.2337,0.0123,1.455,,,,
117,535,290.2,0.105933,0.05,13.6271,0.0,1.475,,,,
118,563,287.64,0.12007,0.05,14.3197,0.0031,1.47,,,,
119,528,286.34,0.108739,0.05,13.2765,0.0062,1.465,,,,
120,523,286.48,0.11489,0.05,13.0272,0.0093,1.47,,,,
121,529,291.38,0.108892,0.05,12.8956,0.0031,1.485,,,,
122,518,291.6,0.106889,0.05,12.5589,0.0031,1.485,,,,
123,548,287.9,0.10993,0.05,13.0546,0.0,1.465,,,,
124,543,286.08,0.116678,0.05,14.5918,0.0093,1.47,,,,
125,535,292.24,0.103392,0.05,12.4411,0.0,1.485,,,,
126,526,293.44,0.123291,0.05,12.4497,0.0,1.49,,,,
127,534,285.12,0.109838,0.05,13.0862,0.0,1.45,,,,
128,553,291.88,0.097152,0.05,13.468,0.0,1.485,,,,
129,545,284.98,0.102996,0.05,14.8116,0.0062,1.46,,,,
130,548,293.0,0.11522,0.05,13.5403,0.0,1.49,,,,
